start,eind,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
20/10/2019 17:00:00,20/10/2019 17:30:00,Eigen speltak,Eigen speltak,Eigen speltak,Eigen speltak,Eigen speltak,Eigen speltak,Eigen speltak,Eigen speltak,Eigen speltak,Eigen speltak,Eigen speltak,Eigen speltak,Eigen speltak,Eigen speltak,Eigen speltak,Eigen speltak,Eigen speltak,Eigen speltak,Eigen speltak,Eigen speltak,Eigen speltak,Eigen speltak,Eigen speltak,Eigen speltak,Eigen speltak,Eigen speltak,Eigen speltak,Eigen speltak
20/10/2019 17:30:00,20/10/2019 18:30:00,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten
20/10/2019 18:30:00,20/10/2019 19:00:00,JOTA,JOTA,TV,TV,Levend speedcup,Levend speedcup,Levend speedcup,Levend speedcup,Trefbalvaganza,Trefbalvaganza,Trefbalvaganza,Trefbalvaganza,Bosgolf,Bosgolf,Bosgolf,Bosgolf,Kinetische bom,Kinetische bom,Kinetische bom,Kinetische bom,JOTI,JOTI,Radio,Radio,JOTA,JOTA,TV,TV
20/10/2019 19:00:00,20/10/2019 19:30:00,TV,TV,JOTA,JOTA,Levend speedcup,Levend speedcup,Levend speedcup,Levend speedcup,Trefbalvaganza,Trefbalvaganza,Trefbalvaganza,Trefbalvaganza,Bosgolf,Bosgolf,Bosgolf,Bosgolf,Kinetische bom,Kinetische bom,Kinetische bom,Kinetische bom,Radio,Radio,JOTI,JOTI,TV,TV,JOTA,JOTA
20/10/2019 19:30:00,20/10/2019 20:00:00,Kinetische bom,Kinetische bom,Kinetische bom,Kinetische bom,JOTA,JOTA,TV,TV,Bosgolf,Bosgolf,Bosgolf,Bosgolf,Trefbalvaganza,Trefbalvaganza,Trefbalvaganza,Trefbalvaganza,Levend speedcup,Levend speedcup,Levend speedcup,Levend speedcup,JOTA,JOTA,TV,TV,JOTI,JOTI,Radio,Radio
20/10/2019 20:00:00,20/10/2019 20:30:00,Kinetische bom,Kinetische bom,Kinetische bom,Kinetische bom,TV,TV,JOTA,JOTA,Bosgolf,Bosgolf,Bosgolf,Bosgolf,Trefbalvaganza,Trefbalvaganza,Trefbalvaganza,Trefbalvaganza,Levend speedcup,Levend speedcup,Levend speedcup,Levend speedcup,TV,TV,JOTA,JOTA,Radio,Radio,JOTI,JOTI
20/10/2019 20:30:00,20/10/2019 21:00:00,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT
20/10/2019 21:00:00,21/10/2019 00:00:00,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT
21/10/2019 00:00:00,21/10/2019 08:00:00,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen
21/10/2019 08:00:00,21/10/2019 08:30:00,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan
