start,eind,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
15-10-2016 18:00:00,15-10-2016 19:15:00,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel
15-10-2016 19:15:00,15-10-2016 20:30:00,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel
15-10-2016 20:30:00,15-10-2016 22:00:00,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur
15-10-2016 22:00:00,15-10-2016 23:00:00,"Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed"
15-10-2016 23:00:00,16-10-2016 08:00:00,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen
16-10-2016 08:00:00,16-10-2016 08:30:00,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan
16-10-2016 08:30:00,16-10-2016 09:00:00,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt
16-10-2016 09:00:00,16-10-2016 09:30:00,Slaapspullen opruimen,Slaapspullen opruimen,Slaapspullen opruimen,Slaapspullen opruimen,Slaapspullen opruimen,Slaapspullen opruimen,Slaapspullen opruimen,Slaapspullen opruimen,Slaapspullen opruimen,Slaapspullen opruimen,Slaapspullen opruimen,Slaapspullen opruimen,Slaapspullen opruimen,Slaapspullen opruimen,Slaapspullen opruimen,Slaapspullen opruimen,Slaapspullen opruimen,Slaapspullen opruimen,Slaapspullen opruimen,Slaapspullen opruimen,Slaapspullen opruimen,Slaapspullen opruimen,Slaapspullen opruimen,Slaapspullen opruimen
16-10-2016 09:30:00,16-10-2016 10:30:00,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR
16-10-2016 10:30:00,16-10-2016 12:00:00,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen
16-10-2016 12:00:00,16-10-2016 12:30:00,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch
16-10-2016 12:30:00,16-10-2016 14:00:00,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen
16-10-2016 14:00:00,16-10-2016 15:10:00,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER
16-10-2016 15:10:00,16-10-2016 15:30:00,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting
16-10-2016 15:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
