,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
17-10-2015 23:00,18-10-2015 8:00,,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,,,Slapen,Slapen
18-10-2015 8:00,18-10-2015 8:30,,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,,,Opstaan,Opstaan
18-10-2015 8:30,18-10-2015 9:00,,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,,,Ontbijt,Ontbijt
18-10-2015 9:00,18-10-2015 9:30,,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,Spullen opruimen,,,Spullen opruimen,Spullen opruimen
18-10-2015 9:30,18-10-2015 10:30,,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,,,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR
18-10-2015 10:30,18-10-2015 11:00,,Levend Zeeslag,Jota,Levend Zeeslag,Levend Halli Galli,Radio,Joti,Levend Zeeslag,Jota,Levend Zeeslag,Levend Halli Galli,Radio,,Levend Zeeslag,Jota,Levend Zeeslag,Levend Halli Galli,Radio,Joti,Levend Zeeslag,,,Joti,Joti
18-10-2015 11:00,18-10-2015 11:30,,Levend Zeeslag,Levend Halli Galli,Levend Zeeslag,Jota,Joti,Radio,Levend Zeeslag,Levend Halli Galli,Levend Zeeslag,Jota,Joti,,Levend Zeeslag,Levend Halli Galli,Levend Zeeslag,Jota,Joti,Radio,Levend Zeeslag,,,Radio,Radio
18-10-2015 11:30,18-10-2015 12:00,,Joti,Levend Zeeslag,Radio,Levend Zeeslag,Levend Halli Galli,Jota,Joti,Levend Zeeslag,Radio,Levend Zeeslag,Levend Halli Galli,,Joti,Levend Zeeslag,Radio,Levend Zeeslag,Levend Halli Galli,Jota,Radio,,,Jota,Jota
18-10-2015 12:00,18-10-2015 12:30,,Radio,Levend Zeeslag,Joti,Levend Zeeslag,Jota,Levend Halli Galli,Radio,Levend Zeeslag,Joti,Levend Zeeslag,Jota,,Radio,Levend Zeeslag,Joti,Levend Zeeslag,Jota,Levend Halli Galli,Joti,,,Levend Halli Galli,Levend Halli Galli
18-10-2015 12:30,18-10-2015 13:00,,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,,,Lunch,Lunch
18-10-2015 13:00,18-10-2015 13:30,,Jota,Joti,Levend Halli Galli,Radio,Levend Zeeslag,Levend Zeeslag,Jota,Joti,Levend Halli Galli,Radio,Levend Zeeslag,,Jota,Joti,Levend Halli Galli,Radio,Levend Zeeslag,Levend Zeeslag,Levend Halli Galli,,,Levend Zeeslag,Levend Zeeslag
18-10-2015 13:30,18-10-2015 14:00,,Levend Halli Galli,Radio,Jota,Joti,Levend Zeeslag,Levend Zeeslag,Levend Halli Galli,Radio,Jota,Joti,Levend Zeeslag,,Levend Halli Galli,Radio,Jota,Joti,Levend Zeeslag,Levend Zeeslag,Jota,,,Levend Zeeslag,Levend Zeeslag
18-10-2015 14:00,18-10-2015 15:10,,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,,,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER
18-10-2015 15:10,18-10-2015 15:30,,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,,,Sluiting,Sluiting
