start,eind,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
15-10-2016 16:30:00,10/15/2016 17:00,Foetsie weg naar …,Opruimen + Tocht terug naar HIER,Opruimen + Tocht terug naar HIER,Foetsie weg naar …,Opruimen + Tocht terug naar HIER,Opruimen + Tocht terug naar HIER,Opruimen + Tocht terug naar HIER,Foetsie weg naar …,Opruimen + Tocht terug naar HIER,Foetsie weg naar …,Opruimen + Tocht terug naar HIER,Opruimen + Tocht terug naar HIER,Opruimen + Tocht terug naar HIER,Opruimen + Tocht terug naar HIER,Opruimen + Tocht terug naar HIER,Opruimen + Tocht terug naar HIER,Opruimen + Tocht terug naar HIER,Opruimen + Tocht terug naar HIER,Opruimen + Tocht terug naar HIER,Opruimen + Tocht terug naar HIER,Opruimen + Tocht terug naar HIER,Opruimen + Tocht terug naar HIER,Opruimen + Tocht terug naar HIER,Opruimen + Tocht terug naar HIER,Foetsie weg naar …,Foetsie weg naar …,Foetsie weg naar …
15-10-2016 17:00:00,10/15/2016 17:30,Foetsie weg naar …,Tocht terug naar HIER,Opruimen + Tocht terug naar HIER,Foetsie weg naar …,Opruimen + Tocht terug naar HIER,Opruimen + Tocht terug naar HIER,Opruimen + Tocht terug naar HIER,Foetsie weg naar …,Opruimen + Tocht terug naar HIER,Foetsie weg naar …,Opruimen + Tocht terug naar HIER,Opruimen + Tocht terug naar HIER,Opruimen + Tocht terug naar HIER,Opruimen + Tocht terug naar HIER,Opruimen + Tocht terug naar HIER,Opruimen + Tocht terug naar HIER,Opruimen + Tocht terug naar HIER,Opruimen + Tocht terug naar HIER,Opruimen + Tocht terug naar HIER,Opruimen + Tocht terug naar HIER,Opruimen + Tocht terug naar HIER,Opruimen + Tocht terug naar HIER,Opruimen + Tocht terug naar HIER,Opruimen + Tocht terug naar HIER,Foetsie weg naar …,Foetsie weg naar …,Foetsie weg naar …
15-10-2016 17:30:00,10/15/2016 18:00,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten
15-10-2016 18:00:00,10/15/2016 18:30,Eigen speltak,Eigen speltak,Eigen speltak,Eigen speltak,Eigen speltak,Eigen speltak,Eigen speltak,Eigen speltak,Eigen speltak,Eigen speltak,Eigen speltak,Eigen speltak,Eigen speltak,Eigen speltak,Eigen speltak,Eigen speltak,Eigen speltak,Eigen speltak,Eigen speltak,Eigen speltak,Eigen speltak,Eigen speltak,Eigen speltak,Eigen speltak,Eigen speltak,Eigen speltak,Eigen speltak
15-10-2016 18:30:00,10/15/2016 19:00,TV,TV,TV,TV,Radio,Radio,Jota,Jota,Joti,Joti,Joti,Joti,Tangram,Tangram,Tangram,Tangram,Vlaggen veroveren,Vlaggen veroveren,Vlaggen veroveren,Vlaggen veroveren,Vlaggen veroveren,Vlaggen veroveren,Vlaggen veroveren,Vlaggen veroveren,Vlaggen veroveren,Jota,Joti
15-10-2016 19:00:00,10/15/2016 19:30,Radio,Radio,Jota,Jota,TV,TV,TV,TV,Joti,Joti,Joti,Joti,Tangram,Tangram,Tangram,Tangram,Vlaggen veroveren,Vlaggen veroveren,Vlaggen veroveren,Vlaggen veroveren,Vlaggen veroveren,Vlaggen veroveren,Vlaggen veroveren,Vlaggen veroveren,Vlaggen veroveren,Radio,Joti
15-10-2016 19:30:00,10/15/2016 20:00,Vlaggen veroveren,Vlaggen veroveren,Vlaggen veroveren,Vlaggen veroveren,Vlaggen veroveren,Vlaggen veroveren,Vlaggen veroveren,Vlaggen veroveren,TV,TV,TV,TV,Radio,Radio,Jota,Jota,Joti,Joti,Joti,Joti,Tangram,Tangram,Tangram,Tangram,Tangram,Vlaggen veroveren,Radio
15-10-2016 20:00:00,10/15/2016 20:30,Vlaggen veroveren,Vlaggen veroveren,Vlaggen veroveren,Vlaggen veroveren,Vlaggen veroveren,Vlaggen veroveren,Vlaggen veroveren,Vlaggen veroveren,Radio,Radio,Jota,Jota,TV,TV,TV,TV,Joti,Joti,Joti,Joti,Tangram,Tangram,Tangram,Tangram,Tangram,Vlaggen veroveren,Jota
15-10-2016 20:30:00,10/15/2016 21:00,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT,Klaarmaken voor the HUNT
15-10-2016 21:00:00,10/15/2016 0:00,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT,The HUNT
15-10-2016 00:00:00,10/16/2016 8:00,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen
16-10-2016 08:00:00,10/16/2016 9:00,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,Opstaan + spullen inpakken,,,
16-10-2016 09:00:00,10/16/2016 9:30,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,,Ontbijt,Ontbijt,Ontbijt,,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,,,
16-10-2016 09:30:00,10/16/2016 10:10,Joti,Joti,Joti,Joti,Tangram,Tangram,Tangram,Tangram,Vlaggen veroveren,,Vlaggen veroveren,Vlaggen veroveren,Vlaggen veroveren,,Vlaggen veroveren,Vlaggen veroveren,TV,TV,TV,TV,Radio,Radio,Jota,Jota,,,
16-10-2016 10:10:00,10/16/2016 10:50,Joti,Joti,Joti,Joti,Tangram,Tangram,Tangram,Tangram,Vlaggen veroveren,,Vlaggen veroveren,Vlaggen veroveren,Vlaggen veroveren,,Vlaggen veroveren,Vlaggen veroveren,Radio,Radio,Jota,Jota,TV,TV,TV,TV,,,
16-10-2016 10:50:00,10/16/2016 11:30,Klimwand,Klimwand,Klimwand,Klimwand,Jota,Jota,Radio,Radio,Tangram,,Tangram,Tangram,Joti,,Joti,Joti,Ministampers,Ministampers,Ministampers,Ministampers,Ministampers,Ministampers,Ministampers,Ministampers,,,
16-10-2016 11:30:00,10/16/2016 12:10,Jota,Jota,Radio,Radio,Klimwand,Klimwand,Klimwand,Klimwand,Tangram,,Tangram,Tangram,Joti,,Joti,Joti,Ministampers,Ministampers,Ministampers,Ministampers,Ministampers,Ministampers,Ministampers,Ministampers,,,
16-10-2016 12:10:00,10/16/2016 12:40,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,,Lunch,Lunch,Lunch,,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,,,
16-10-2016 12:40:00,10/16/2016 13:20,Ministampers,Ministampers,Ministampers,Ministampers,Ministampers,Ministampers,Ministampers,Ministampers,Klimwand,,Klimwand,Klimwand,Jota,,Radio,Radio,Tangram,Tangram,Tangram,Tangram,Joti,Joti,Joti,Joti,,,
16-10-2016 13:20:00,10/16/2016 14:00,Ministampers,Ministampers,Ministampers,Ministampers,Ministampers,Ministampers,Ministampers,Ministampers,Jota,,Radio,Radio,Klimwand,,Klimwand,Klimwand,Tangram,Tangram,Tangram,Tangram,Joti,Joti,Joti,Joti,,,
16-10-2016 14:00:00,10/16/2016 14:30,Tangram,Tangram,Tangram,Tangram,Joti,Joti,Joti,Joti,Ministampers,,Ministampers,Ministampers,Ministampers,,Ministampers,Ministampers,Klimwand,Klimwand,Klimwand,Klimwand,Jota,Jota,Radio,Radio,,,
16-10-2016 14:30:00,10/16/2016 15:10,Tangram,Tangram,Tangram,Tangram,Joti,Joti,Joti,Joti,Ministampers,,Ministampers,Ministampers,Ministampers,,Ministampers,Ministampers,Jota,Jota,Radio,Radio,Klimwand,Klimwand,Klimwand,Klimwand,,,
16-10-2016 15:10:00,10/16/2016 15:30,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,,Sluiting,Sluiting,Sluiting,,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,,,
16-10-2016 15:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
