start,eind,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
01-10-2019 00:00:00,19-10-2019 09:30:00,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden
19-10-2019 09:30:00,19-10-2019 10:00:00,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening
19-10-2019 10:00:00,19-10-2019 10:30:00,JOTA,Radio,JOTI,JOTI,Belegeringsstratego,Belegeringsstratego,Belegeringsstratego,Belegeringsstratego,Klimtoren,Klimtoren,Geheimschrift,Geheimschrift,JOTA,Radio,JOTI,JOTI,Stopmotion filmpjes,Stopmotion filmpjes,Stopmotion filmpjes,Stopmotion filmpjes,TV,TV,TV,TV
19-10-2019 10:30:00,19-10-2019 11:00:00,Radio,JOTA,JOTI,JOTI,Belegeringsstratego,Belegeringsstratego,Belegeringsstratego,Belegeringsstratego,Geheimschrift,Geheimschrift,Klimtoren,Klimtoren,Radio,JOTA,JOTI,JOTI,Stopmotion filmpjes,Stopmotion filmpjes,Stopmotion filmpjes,Stopmotion filmpjes,TV,TV,TV,TV
19-10-2019 11:00:00,19-10-2019 11:30:00,Bevers,Bevers,JOTA,JOTA,Stopmotion filmpjes,Stopmotion filmpjes,Stopmotion filmpjes,Stopmotion filmpjes,TV,TV,TV,TV,JOTI,JOTI,Radio,Radio,Belegeringsstratego,Belegeringsstratego,Belegeringsstratego,Belegeringsstratego,Klimtoren,Klimtoren,Geheimschrift,Geheimschrift
19-10-2019 11:30:00,19-10-2019 12:00:00,Bevers,Bevers,Radio,Radio,Stopmotion filmpjes,Stopmotion filmpjes,Stopmotion filmpjes,Stopmotion filmpjes,TV,TV,TV,TV,JOTI,JOTI,JOTA,JOTA,Belegeringsstratego,Belegeringsstratego,Belegeringsstratego,Belegeringsstratego,Geheimschrift,Geheimschrift,Klimtoren,Klimtoren
19-10-2019 12:00:00,19-10-2019 12:30:00,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch
19-10-2019 12:30:00,19-10-2019 13:00:00,TV,TV,TV,TV,Radio,Radio,JOTI,JOTI,Stopmotion filmpjes,Stopmotion filmpjes,Stopmotion filmpjes,Stopmotion filmpjes,Klimtoren,Klimtoren,Geheimschrift,Geheimschrift,JOTA,JOTA,JOTI,JOTI,Belegeringsstratego,Belegeringsstratego,Belegeringsstratego,Belegeringsstratego
19-10-2019 13:00:00,19-10-2019 13:30:00,TV,TV,TV,TV,JOTA,JOTA,JOTI,JOTI,Stopmotion filmpjes,Stopmotion filmpjes,Stopmotion filmpjes,Stopmotion filmpjes,Geheimschrift,Geheimschrift,Klimtoren,Klimtoren,Radio,Radio,JOTI,JOTI,Belegeringsstratego,Belegeringsstratego,Belegeringsstratego,Belegeringsstratego
19-10-2019 13:30:00,19-10-2019 14:00:00,Klimtoren,Klimtoren,Geheimschrift,Geheimschrift,JOTI,JOTI,JOTA,Radio,Belegeringsstratego,Belegeringsstratego,Belegeringsstratego,Belegeringsstratego,TV,TV,TV,TV,JOTI,JOTI,JOTA,Radio,Stopmotion filmpjes,Stopmotion filmpjes,Stopmotion filmpjes,Stopmotion filmpjes
