start,eind,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
01/10/2018 00:00:00,20/10/2018 09:30:00,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden
20/10/2018 09:30:00,20/10/2018 10:00:00,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening
20/10/2018 10:00:00,20/10/2018 10:30:00,JOTA,Radio,JOTI,JOTI,Natuurschilderij maken,Natuurschilderij maken,Natuurschilderij maken,Natuurschilderij maken,Lego op afstand,Lego op afstand,Estafette neusverven,Estafette neusverven,JOTA,Radio,JOTI,JOTI,Animaties maken,Animaties maken,Animaties maken,Animaties maken,TV,TV,TV,TV
20/10/2018 10:30:00,20/10/2018 11:00:00,Radio,JOTA,JOTI,JOTI,Natuurschilderij maken,Natuurschilderij maken,Natuurschilderij maken,Natuurschilderij maken,Estafette neusverven,Estafette neusverven,Lego op afstand,Lego op afstand,Radio,JOTA,JOTI,JOTI,Animaties maken,Animaties maken,Animaties maken,Animaties maken,TV,TV,TV,TV
20/10/2018 11:00:00,20/10/2018 11:30:00,Bevers,Bevers,JOTA,Radio,Animaties maken,Animaties maken,Animaties maken,Animaties maken,TV,TV,TV,TV,JOTI,JOTI,JOTA,Radio,Natuurschilderij maken,Natuurschilderij maken,Natuurschilderij maken,Natuurschilderij maken,Lego op afstand,Lego op afstand,Estafette neusverven,Estafette neusverven
20/10/2018 11:30:00,20/10/2018 12:00:00,Bevers,Bevers,Radio,JOTA,Animaties maken,Animaties maken,Animaties maken,Animaties maken,TV,TV,TV,TV,JOTI,JOTI,Radio,JOTA,Natuurschilderij maken,Natuurschilderij maken,Natuurschilderij maken,Natuurschilderij maken,Estafette neusverven,Estafette neusverven,Lego op afstand,Lego op afstand
20/10/2018 12:00:00,20/10/2018 12:30:00,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch
20/10/2018 12:30:00,20/10/2018 13:00:00,TV,TV,TV,TV,Radio,Radio,JOTI,JOTI,Animaties maken,Animaties maken,Animaties maken,Animaties maken,Lego op afstand,Lego op afstand,Estafette neusverven,Estafette neusverven,JOTA,JOTA,JOTI,JOTI,Natuurschilderij maken,Natuurschilderij maken,Natuurschilderij maken,Natuurschilderij maken
20/10/2018 13:00:00,20/10/2018 13:30:00,TV,TV,TV,TV,JOTA,JOTA,JOTI,JOTI,Animaties maken,Animaties maken,Animaties maken,Animaties maken,Estafette neusverven,Estafette neusverven,Lego op afstand,Lego op afstand,Radio,Radio,JOTI,JOTI,Natuurschilderij maken,Natuurschilderij maken,Natuurschilderij maken,Natuurschilderij maken
20/10/2018 13:30:00,20/10/2018 14:00:00,Lego op afstand,Lego op afstand,Estafette neusverven,Estafette neusverven,JOTI,JOTI,JOTA,Radio,Natuurschilderij maken,Natuurschilderij maken,Natuurschilderij maken,Natuurschilderij maken,TV,TV,TV,TV,JOTI,JOTI,JOTA,Radio,Animaties maken,Animaties maken,Animaties maken,Animaties maken
