start,eind,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
01-10-2017 00:00:00,21-10-2017 09:30:00,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden,Opbouw+voorbereiden
21-10-2017 09:30:00,21-10-2017 10:00:00,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening,Opening
21-10-2017 10:00:00,21-10-2017 10:30:00,JOTA,Radio,JOTI,JOTI,Octopus,Octopus,Octopus,Octopus,Communicatie-estafette,Communicatie-estafette,GPS-doolhof,GPS-doolhof,JOTA,Radio,JOTI,JOTI,Washandjesmonsterspel,Washandjesmonsterspel,Washandjesmonsterspel,Washandjesmonsterspel,TV,TV,TV,TV
21-10-2017 10:30:00,21-10-2017 11:00:00,Radio,JOTA,JOTI,JOTI,Octopus,Octopus,Octopus,Octopus,GPS-doolhof,GPS-doolhof,Communicatie-estafette,Communicatie-estafette,Radio,JOTA,JOTI,JOTI,Washandjesmonsterspel,Washandjesmonsterspel,Washandjesmonsterspel,Washandjesmonsterspel,TV,TV,TV,TV
21-10-2017 11:00:00,21-10-2017 11:30:00,Bevers,Bevers,JOTA,Radio,Washandjesmonsterspel,Washandjesmonsterspel,Washandjesmonsterspel,Washandjesmonsterspel,TV,TV,TV,TV,JOTI,JOTI,JOTA,Radio,Octopus,Octopus,Octopus,Octopus,Communicatie-estafette,Communicatie-estafette,GPS-doolhof,GPS-doolhof
21-10-2017 11:30:00,21-10-2017 12:00:00,Bevers,Bevers,Radio,JOTA,Washandjesmonsterspel,Washandjesmonsterspel,Washandjesmonsterspel,Washandjesmonsterspel,TV,TV,TV,TV,JOTI,JOTI,Radio,JOTA,Octopus,Octopus,Octopus,Octopus,GPS-doolhof,GPS-doolhof,Communicatie-estafette,Communicatie-estafette
21-10-2017 12:00:00,21-10-2017 12:30:00,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch
21-10-2017 12:30:00,21-10-2017 13:05:00,TV,TV,TV,TV,Radio,Radio,JOTI,JOTI,Washandjesmonsterspel,Washandjesmonsterspel,Washandjesmonsterspel,Washandjesmonsterspel,Communicatie-estafette,Communicatie-estafette,GPS-doolhof,GPS-doolhof,JOTA,JOTA,JOTI,JOTI,Octopus,Octopus,Octopus,Octopus
21-10-2017 13:05:00,21-10-2017 13:30:00,TV,TV,TV,TV,JOTA,JOTA,JOTI,JOTI,Washandjesmonsterspel,Washandjesmonsterspel,Washandjesmonsterspel,Washandjesmonsterspel,GPS-doolhof,GPS-doolhof,Communicatie-estafette,Communicatie-estafette,Radio,Radio,JOTI,JOTI,Octopus,Octopus,Octopus,Octopus
21-10-2017 13:30:00,21-10-2017 14:00:00,Communicatie-estafette,Communicatie-estafette,GPS-doolhof,GPS-doolhof,JOTI,JOTI,JOTA,Radio,Octopus,Octopus,Octopus,Octopus,TV,TV,TV,TV,JOTI,JOTI,JOTA,Radio,Washandjesmonsterspel,Washandjesmonsterspel,Washandjesmonsterspel,Washandjesmonsterspel
21-10-2017 14:00:00,21-10-2017 14:30:00,GPS-doolhof,GPS-doolhof,Communicatie-estafette,Communicatie-estafette,JOTI,JOTI,Radio,JOTA,Octopus,Octopus,Octopus,Octopus,TV,TV,TV,TV,JOTI,JOTI,Radio,JOTA,Washandjesmonsterspel,Washandjesmonsterspel,Washandjesmonsterspel,Washandjesmonsterspel
21-10-2017 14:30:00,21-10-2017 15:00:00,Washandjesmonsterspel,Washandjesmonsterspel,Washandjesmonsterspel,Washandjesmonsterspel,TV,TV,TV,TV,JOTA,Radio,JOTI,JOTI,Octopus,Octopus,Octopus,Octopus,Communicatie-estafette,Communicatie-estafette,GPS-doolhof,GPS-doolhof,JOTA,Radio,JOTI,JOTI
21-10-2017 15:00:00,21-10-2017 15:30:00,Washandjesmonsterspel,Washandjesmonsterspel,Washandjesmonsterspel,Washandjesmonsterspel,TV,TV,TV,TV,Radio,JOTA,JOTI,JOTI,Octopus,Octopus,Octopus,Octopus,GPS-doolhof,GPS-doolhof,Communicatie-estafette,Communicatie-estafette,Radio,JOTA,JOTI,JOTI
21-10-2017 15:30:00,21-10-2017 16:00:00,Octopus,Octopus,Octopus,Octopus,Communicatie-estafette,GPS-doolhof,GPS-doolhof,Communicatie-estafette,JOTI,JOTI,JOTA,Radio,Washandjesmonsterspel,Washandjesmonsterspel,Washandjesmonsterspel,Washandjesmonsterspel,TV,TV,TV,TV,JOTI,JOTI,JOTA,Radio
21-10-2017 16:00:00,21-10-2017 16:30:00,Octopus,Octopus,Octopus,Octopus,GPS-doolhof,Communicatie-estafette,Communicatie-estafette,,JOTI,JOTI,Radio,JOTA,Washandjesmonsterspel,Washandjesmonsterspel,Washandjesmonsterspel,Washandjesmonsterspel,TV,TV,TV,TV,JOTI,JOTI,Radio,JOTA
21-10-2017 16:30:00,21-10-2017 17:30:00,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten,Avondeten
21-10-2017 17:30:00,21-10-2017 18:00:00,Slaapspullen klaarleggen + klaarmaken voor het avondspel,Slaapspullen klaarleggen + klaarmaken voor het avondspel,Slaapspullen klaarleggen + klaarmaken voor het avondspel,Slaapspullen klaarleggen + klaarmaken voor het avondspel,Slaapspullen klaarleggen + klaarmaken voor het avondspel,Slaapspullen klaarleggen + klaarmaken voor het avondspel,Slaapspullen klaarleggen + klaarmaken voor het avondspel,Slaapspullen klaarleggen + klaarmaken voor het avondspel,Slaapspullen klaarleggen + klaarmaken voor het avondspel,Slaapspullen klaarleggen + klaarmaken voor het avondspel,Slaapspullen klaarleggen + klaarmaken voor het avondspel,Slaapspullen klaarleggen + klaarmaken voor het avondspel,Slaapspullen klaarleggen + klaarmaken voor het avondspel,Slaapspullen klaarleggen + klaarmaken voor het avondspel,Slaapspullen klaarleggen + klaarmaken voor het avondspel,Slaapspullen klaarleggen + klaarmaken voor het avondspel,Slaapspullen klaarleggen + klaarmaken voor het avondspel,Slaapspullen klaarleggen + klaarmaken voor het avondspel,Slaapspullen klaarleggen + klaarmaken voor het avondspel,Slaapspullen klaarleggen + klaarmaken voor het avondspel,Slaapspullen klaarleggen + klaarmaken voor het avondspel,Slaapspullen klaarleggen + klaarmaken voor het avondspel,Slaapspullen klaarleggen + klaarmaken voor het avondspel,Slaapspullen klaarleggen + klaarmaken voor het avondspel
21-10-2017 18:00:00,21-10-2017 19:30:00,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel,Avondspel
21-10-2017 19:30:00,21-10-2017 20:30:00,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel,Nachtspel
21-10-2017 20:30:00,21-10-2017 22:00:00,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur,Kampvuur
21-10-2017 22:00:00,21-10-2017 23:00:00,"Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed","Wassen, plassen en naar bed"
21-10-2017 23:00:00,22-10-2017 08:00:00,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen,Slapen
22-10-2017 08:00:00,22-10-2017 08:30:00,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan,Opstaan
22-10-2017 08:30:00,22-10-2017 09:00:00,Slaapspullen opruimen,Slaapspullen opruimen,Slaapspullen opruimen,Slaapspullen opruimen,Slaapspullen opruimen,Slaapspullen opruimen,Slaapspullen opruimen,Slaapspullen opruimen,Slaapspullen opruimen,Slaapspullen opruimen,Slaapspullen opruimen,Slaapspullen opruimen,Slaapspullen opruimen,Slaapspullen opruimen,Slaapspullen opruimen,Slaapspullen opruimen,Slaapspullen opruimen,Slaapspullen opruimen,Slaapspullen opruimen,Slaapspullen opruimen,Slaapspullen opruimen,Slaapspullen opruimen,Slaapspullen opruimen,Slaapspullen opruimen
22-10-2017 09:00:00,22-10-2017 09:30:00,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt,Ontbijt
22-10-2017 09:30:00,22-10-2017 10:00:00,Tocht van HIER naar GINDER,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR,Tocht van HIER naar DAAR
22-10-2017 10:00:00,22-10-2017 12:00:00,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen
22-10-2017 12:00:00,22-10-2017 12:30:00,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch
22-10-2017 12:30:00,22-10-2017 14:00:00,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen,Diverse spellen
22-10-2017 14:00:00,22-10-2017 14:30:00,Tocht van GINDER naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER,Tocht van DAAR naar HIER
22-10-2017 14:30:00,22-10-2017 15:00:00,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting,Sluiting
